19185 2.59029e+07
1 6270 161.989
2 10371 5353.14
3 15051 246.496
4 1335 849.214
5 2672 6280.39
6 7938 8481.02
7 8408 849.163
8 4263 6538.12
9 183 28.681
9 15065 23.47
10 5534 172.897
10 10520 2551.8
11 11298 84.052
12 10772 1607.14
13 5306 169.399
14 11198 301.208
15 11198 2358.33
16 13768 5888.83
18 3841 1183.44
19 6647 493.431
20 11200 677.579
22 4492 149.443
23 184 1889.37
24 16220 6.438
25 11931 578.518
26 1168 1211.65
27 12299 5431.07
28 14698 20.586
29 12008 31.292
30 13738 47.281
31 2714 3.959
32 9278 94.969
33 12403 59.411
34 10673 9449.96
35 995 335.554
36 7778 2219.46
36 8434 2966.6
37 18115 24.861
37 14454 37.567
39 3287 3980.08
40 18235 1227.38
41 17716 444.106
42 8942 1816.2
43 6047 891.986
44 12628 60.3
44 14463 77.383
45 41 2218.09
46 14560 176.149
47 7612 154.006
48 9228 93.554
49 6826 1716.1
50 11881 152.02
50 4015 339.668
51 10361 235.05
52 498 2316.75
53 14669 218.897
54 8993 1940.49
55 4942 5360.98
56 11750 275.263
58 5991 50.738
59 9021 1751.89
60 13989 1376.45
61 10835 2696.6
63 17244 8808.34
65 9726 409.079
66 18413 1123.9
67 14197 1610
68 16032 199.646
69 18186 1856.87
70 14900 900.354
71 17933 573.399
72 9393 520.978
73 16683 27.642
73 9839 186.375
73 1574 46.701
74 11774 2731.9
75 12458 156.568
76 5561 140.353
76 12244 350.001
77 1193 266.525
78 16827 120.78
78 18458 385.279
79 18214 1502.09
80 3718 2252.65
81 2408 1229.69
82 1079 199.731
83 15779 870.239
84 15449 1333.62
85 3559 301.636
87 6735 227.499
89 11802 134.942
90 10128 132.883
91 13760 832.204
92 15444 329.685
93 2156 6252.65
94 12670 100.819
95 12346 154.707
96 17695 3673.72
97 6740 950.573
98 1844 439.996
99 4061 723.201
100 14186 7.838
101 13145 1207.71
102 5813 209.64
103 11169 768.303
104 11541 1589.06
105 10407 211.827
106 12463 1314.88
107 15696 1819.83
108 16390 1213.06
109 16606 1542.12
110 13698 470.419
111 9981 446.558
112 12106 1194.94
113 17721 1489.72
114 3796 347.796
115 443 354.473
115 18590 215.017
115 18691 150.844
116 2385 7240.95
116 4878 2977.52
117 4755 480.834
118 11527 5116.24
119 5485 96.037
121 12718 201.759
121 18339 167.954
122 1455 3361.13
123 5350 22.875
124 3118 2236.25
125 3963 678.059
127 6358 7286.03
128 6045 985.989
129 8556 1975.3
130 3540 58.499
132 2113 440.417
133 5477 174.242
134 12504 126.92
134 17134 102.252
135 184 7869.23
136 168 4499.45
137 7628 5187.41
138 12645 352.406
139 12346 3957.88
139 5870 5743.82
140 12720 522.674
141 5431 2684.04
142 9903 178.258
143 13939 5680.48
144 10773 750.406
145 18455 4788.78
146 4556 2162.13
147 10615 1114.32
147 12884 945.612
148 3284 301.079
150 11455 2122.54
151 10007 323.817
152 4033 1845.33
153 7540 224.933
155 17512 4109.05
156 5236 770.485
157 4669 49.959
158 15334 6.861
159 14153 548.046
160 13301 57.861
160 3925 34.143
161 5550 617.211
162 9421 56.927
163 14469 347.634
163 12863 440.554
164 1796 49.119
165 14803 89.183
166 7724 68.578
167 13501 955.654
167 15018 2208.7
167 1939 601.33
168 12978 812.016
169 14732 3642.69
171 4568 16.638
172 17887 921.821
173 13747 2881
174 1372 449.061
176 17035 671.35
177 12585 234.334
178 5607 1421.75
179 14870 4090.68
180 322 3153.33
180 2673 2799.52
182 183 91.096
183 15659 26.839
184 5497 44.448
185 3175 338.9
186 3561 5102.18
187 9899 1023.89
188 3183 3992.59
189 8143 4567.88
190 8000 1880.06
192 6675 1437.68
193 9126 2450.1
194 7957 83.39
196 17879 628.358
197 15924 2442.09
198 17498 194.607
198 18627 145.238
199 4800 15.765
199 3180 100.422
200 9902 6814.75
201 6750 936.284
202 16306 1184.09
203 17266 96.989
203 11815 93.908
204 6241 2351.21
205 6176 587.359
207 6736 1664.97
208 6366 437.137
210 8434 496.419
211 12944 5169.57
213 6941 557.63
214 15643 839.784
215 5171 171.604
216 15995 1323.39
217 8276 190.04
218 10078 2985.71
219 5429 147.752
220 16163 69.174
221 6868 400.312
222 12588 56.221
223 11372 1020.06
224 17734 54.04
225 12348 43.3
226 16243 900.574
227 10928 29.558
228 1056 3418.11
229 10453 224.234
230 4603 2468.85
231 6948 2927.8
232 9910 88.279
233 835 5511.24
234 4356 844.696
235 15767 2249.19
236 11824 100.708
237 4036 3228.4
238 990 780.767
240 11316 166.363
241 2648 3140.39
243 1325 2272.95
244 6099 505.873
245 14216 175.936
246 13566 4374.52
247 906 629.445
248 2412 1799.88
249 3668 5.348
250 10592 37.517
251 1263 3123.64
252 1062 2984.5
253 6345 794.125
254 10611 849.776
255 9170 70.234
256 3924 2709.31
257 7644 482.152
258 17861 220.936
259 5868 63.647
260 4823 768.174
261 10680 3787.42
262 8682 428.539
262 17979 8.251
263 1788 882.094
264 2271 356.694
266 15221 720.788
267 13387 30.012
268 17588 338.84
269 11079 103.44
270 11213 17.954
271 12867 206.211
272 9713 110.019
273 18440 2385.89
274 13412 3460.54
275 11578 1075.62
276 4760 162.409
276 13083 292.94
276 16092 300.188
277 2752 89.527
278 7568 10.348
279 13677 2648.45
280 7557 415.249
281 9156 3246.38
282 17716 1733.85
283 18168 118.024
284 15631 147.227
285 6116 600.015
286 1587 6625.23
287 5898 1051.9
288 10089 10.117
288 17771 299.414
289 13678 0.439
291 4022 722.999
292 11477 765.697
293 230 1066.09
294 6346 34.62
294 15189 136.636
295 14542 247.973
297 6130 239.49
298 17839 313.426
299 4497 320.967
300 10872 240.67
301 3346 1047.93
302 14549 4999.3
303 14720 141.145
304 3651 150.265
305 14895 214.233
305 13617 254.899
306 9160 3360.37
308 5194 2645.73
309 7456 40.996
309 7756 59.827
310 10302 778.323
310 5913 273.293
311 17373 491.442
312 6461 1086.68
313 10783 5894.51
316 15989 489.087
317 12721 1324.48
318 5117 142.41
318 6115 334.954
318 3081 320.712
319 11610 656.127
321 13301 337.472
322 6662 2209.76
323 250 1073.04
324 199 110.798
325 12488 1407.91
326 6890 1846.62
326 9516 1273.88
327 7906 129.02
328 13085 10.11
329 12460 3334.13
330 1353 233.576
330 11269 100.227
331 6938 457.613
332 13348 79.151
333 184 2220.19
334 1670 157.453
335 184 6905.6
336 9633 1952.16
337 11694 756.536
339 184 1346.07
340 5345 1644.18
340 1826 552.343
341 8573 325.388
342 12376 2343.71
343 1167 1623.29
344 5138 1179.01
345 10344 57.416
346 2580 831.217
347 1840 387.76
347 7907 81.521
348 9813 167.783
348 12012 135.304
349 212 523.083
350 17727 477.368
351 16467 2573.8
352 16707 1123.06
353 15519 132.465
354 15115 235.758
355 8941 6494.24
356 14490 910.969
357 17462 186.529
358 13348 5946.94
359 17577 1758.91
360 3228 122.398
360 18770 148.051
361 1567 822.299
362 10053 226.354
363 11869 1507.58
364 11661 1598.92
365 1805 61.903
367 13567 328.201
368 15763 474.041
369 17428 1241.71
370 15748 38.248
371 5980 2.389
371 17633 28.794
372 11523 101.722
373 9599 2470.28
374 7559 18.078
376 1744 4148.82
378 15933 9988.83
379 1953 134.728
379 15913 75.783
379 7806 33.947
380 6662 1140.89
381 1564 325.879
382 4398 5162.74
383 14398 567.013
384 12222 158.46
385 11551 207.747
386 16885 774.438
387 11245 2403.52
387 11422 4239.77
388 13399 9048.63
389 2820 94.568
389 14639 30.397
392 3719 947.326
393 17023 5703.36
394 3544 506.477
395 184 3449.68
396 10275 195.162
397 15065 88.562
398 9274 2431.18
401 7998 1994.04
402 15738 351.646
403 13120 4821.08
404 360 1931.04
405 14612 4825.74
406 11127 149.806
407 7598 128.608
407 10409 6.75
408 832 821.931
408 2227 346.327
409 338 5947.72
410 13817 227.414
411 9731 176.241
412 13661 314.102
412 16066 94.99
413 17319 5325.73
414 16661 458.558
416 14206 3145.5
416 12747 5908.81
417 2267 368.31
418 6346 1441.65
419 2992 49.338
419 9348 685.418
419 16241 324.761
420 6559 669.608
421 16881 834.956
422 29 1284.13
423 12222 109.911
424 3614 3199.02
425 4461 1387.85
426 16131 106.838
427 12484 2522.99
428 681 173.384
429 8463 2038.95
430 7554 203.606
432 686 853.785
432 4595 378.955
433 8034 668.584
434 9997 1018.4
435 3869 1900.88
436 16897 1825.53
437 17490 54.79
437 5669 19.749
438 2611 76.954
439 5268 965.119
440 14382 1227.47
441 14042 4222.15
441 3176 1959.13
442 4010 349.076
443 12933 114.785
444 3671 3278.15
445 1790 6557.77
446 5752 3682.33
447 8377 21.784
448 14215 192.055
449 17526 3160.53
451 10531 944.364
452 13555 2716.04
453 5282 66.154
454 17150 9132.87
455 18467 1143.4
456 15334 176.915
457 4992 367.227
458 5921 1023.6
459 6668 159.581
460 5422 290.233
460 7404 359.969
461 16710 2237.06
462 16605 5802.2
463 16030 148.114
464 9457 4606.68
465 10101 215.323
466 2576 21.268
467 16952 570.57
469 2305 759.424
469 7828 650.872
470 14820 2004.09
471 10045 171.743
472 11504 754.889
474 4319 4349.15
475 12275 236.712
476 12954 296.011
477 3793 9252.13
478 12174 468.805
479 15243 121.947
480 12443 4846.11
481 9977 165.616
482 18200 1172.37
483 11097 31.347
484 5552 4820.96
485 6400 208.785
486 6553 1585.21
487 6553 6750.45
488 11484 790.061
489 11674 1361.89
490 14549 176.099
491 16528 31.483
492 6705 1744.09
493 10214 523.83
494 18084 9505.97
495 1535 5363.59
496 7423 6544.77
497 2081 1657.4
498 17606 5121.11
499 8316 1154.72
500 4444 4927.75
501 13037 241.648
502 9900 1206.17
503 5661 2274.36
504 9574 370.478
505 14679 6578.75
506 7262 20.653
507 11338 1083.11
508 8794 27.941
509 16365 1427.24
510 17273 718.907
511 4010 2170.87
512 7932 2026.01
513 17264 750.475
514 12211 455.871
516 8556 50.859
517 6965 4143.2
518 15123 9994.61
519 8604 974.131
520 15824 294.29
521 7932 257.74
522 100 4672.02
523 832 122.874
524 7530 661.65
525 16114 1287.23
526 14368 2541.28
527 15646 328.4
528 3640 1685.5
529 16894 162.186
531 4822 855.503
532 8357 4222.25
533 16654 1643.23
534 13540 294.676
535 3390 86.26
535 3973 380.716
536 14028 43.463
537 5246 63.322
537 10733 14.468
538 2444 186.654
539 246 434.991
541 13262 14.154
541 4688 26.485
541 1113 91.847
542 6791 661.125
543 11764 3851.42
544 18495 217.284
545 10746 1419.76
546 12782 1328.47
548 7858 171.816
549 15592 28.248
550 4326 708.797
550 11738 3356.76
551 9861 4550.91
552 8084 512.033
553 2986 903.761
554 5257 145.424
555 3962 54.353
557 2719 21.916
558 15059 4964.13
559 996 281.099
560 16897 1182.76
561 11208 867.007
